date,text,cryptobert_sentiment,cryptobert_sentiment_2,subjectivity,polarity,compound,neg,neu,pos,btc_close_price,btc_target_label,eth_close_price,eth_target_label
2017-11-11,time forevermore unit called goes changes mind opinion behavior friends biggest enemy change life pressure wouldn madly love hang gimme feel modern minute frame split seconds sell buy wich runs pulls plug framed fast tell future define past,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6357.600098,0,314.681,0
2017-11-12,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5950.069824,1,307.90799,1
2017-11-13,work november,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6559.490234,1,316.716003,1
2017-11-14,ether internal payment october,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6635.75,1,337.631012,0
2017-11-15,create blockchain oracle adding power love infinite event team gmail,1.0,1.0,0.6,0.5,0.743,0.0,0.636,0.364,7315.540039,1,333.356995,0
2017-11-16,ether internal,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7871.689941,0,330.924011,1
2017-11-17,bitcoin transfer test emergency broadcast system ethereum credits initial coin offering,1.0,1.0,0.0,0.0,-0.3818,0.191,0.809,0.0,7708.990234,1,332.394012,1
2017-11-18,bitcoin cash adopted transfer marketing initial coin offering statement creation,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7790.149902,1,347.612,1
2017-11-19,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8036.490234,1,354.385986,1
2017-11-20,ether init bitcoin transfer,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8200.639648,0,366.730011,0
2017-11-21,technical office equipment mike payment logo landing joshua wage expenses wages,0.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,8071.259766,1,360.401001,1
2017-11-22,bitcoin transfer,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8253.549805,0,380.652008,1
2017-11-23,ether internal,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8038.77002,1,410.165985,1
2017-11-24,hello actually easy information blockchain,0.0,1.0,0.8333333333333334,0.43333333333333335,0.4404,0.0,0.775,0.225,8253.69043,1,474.911011,0
2017-11-25,building bitcoin websites book great,1.0,1.0,0.75,0.8,0.6249,0.0,0.709,0.291,8790.919922,1,466.276001,1
2017-11-26,send ether recently hacked getting want start solidity software company funds meant know feeling hopes dreams taken away instant sorry begging desperate stage,0.0,1.0,0.25,0.0,-0.34,0.169,0.75,0.081,9330.549805,1,471.329987,1
2017-11-27,bitcoin wedding,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9818.349609,1,480.355011,0
2017-11-28,public images node user null bonjour ceci test envoi travers blockchain ethereum cette transaction contient beaucoup dans champs data technical wages,0.0,1.0,0.06666666666666667,0.0,0.0,0.0,1.0,0.0,10058.799805,0,472.902008,0
2017-11-29,public images node user constant false inputs type address bytes uint nonce expires outputs payable function constructor true fallback,0.0,0.0,0.3333333333333333,-0.13333333333333336,0.0,0.0,1.0,0.0,9888.610352,1,427.52301,1
2017-11-30,form truce switch share profits favor retirement fund,1.0,1.0,0.0,0.0,0.7783,0.0,0.562,0.438,10233.599609,1,447.114014,1
2017-12-01,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10975.599609,1,466.540009,0
2017-12-02,bitcoin transfer,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11074.599609,1,463.449005,1
2017-12-03,buy high going coinbase,1.0,1.0,0.5399999999999999,0.16,0.0,0.0,1.0,0.0,11323.200195,1,465.852997,1
2017-12-04,proof analysis projects price time projection want daar geen sint thomas eens hier bitcoin lieve madeleine ethereum laat maar iets waar chain netwerk ligt door plat geeft heel veel meer jaar steeds,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11657.200195,1,470.20401,0
2017-12-05,embed want blockchain info,1.0,1.0,0.0,0.0,0.0772,0.0,0.874,0.126,11916.700195,1,463.281006,0
2017-12-06,buy ether email marlon live moony ethereum technical wages joshua,1.0,1.0,0.5,0.13636363636363635,0.0,0.0,1.0,0.0,14291.5,1,428.588013,1
2017-12-07,kitties dollars start breeding costs like bucks sell babys broke thanks putting shit year,1.0,1.0,0.0,0.0,0.3612,0.0,0.828,0.172,17899.699219,0,434.40799,1
2017-12-08,good work test transfer kraken,2.0,1.0,0.6000000000000001,0.7,0.4404,0.0,0.775,0.225,16569.400391,0,456.031006,1
2017-12-09,join revolt address,1.0,1.0,0.0,0.0,0.296,0.0,0.784,0.216,15178.200195,1,473.502014,0
2017-12-10,marketing chicago blockchain winter gala,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15455.400391,1,441.721008,1
2017-12-11,transaction purchased dracula accidentally posted sale instead student struggling ends meet appreciate took moral high ground compensated value bless internal draft code review sired kitty money dean audit,1.0,1.0,0.0,0.0,-0.34,0.194,0.806,0.0,16936.800781,1,515.135986,1
2017-12-12,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17415.400391,0,651.43103,1
2017-12-13,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16408.199219,1,702.767029,0
2017-12-14,happy birthday hope ether brings plenty future,2.0,1.0,0.5625,0.4,0.765,0.0,0.625,0.375,16564.0,1,695.815979,0
2017-12-15,wealth freedom love hello bitcoin cash technical diligence,1.0,1.0,0.6,0.5,0.9118,0.0,0.463,0.537,17706.900391,1,684.447998,1
2017-12-16,steal address kids debt struggling survive money meant business took away tell somebody soul,1.0,0.0,0.0,0.0,-0.8176,0.459,0.541,0.0,19497.400391,0,696.208984,1
